saat,gun_tipi,sicaklik,yagis,gorus_mesafesi,trafik_yogunlugu,hiz_limiti,ortalama_hiz,kavsak_yogunlugu,yol_tipi,zemin_durumu,isiklandirma,is_cikisi_saati,risk_score,kaza,suggestions
6,hafta_sonu,16.6,yok,554,8,70,16.2,3,sehir_ici,kuru,yeterli,0,0.6284,1,"saglam_sabit_hareket,serit_degisiminden_kacin"
19,hafta_ici,-0.3,yok,468,10,110,44.2,7,otoyol,buzlu,yeterli,1,0.9585,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
14,hafta_ici,13.5,siddetli,122,8,110,38.4,3,sehir_ici,kuru,yeterli,0,0.9683,1,"hizini_azalt;sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin"
10,hafta_ici,27.9,yok,731,10,70,28.5,8,sehir_ici,kuru,yeterli,0,0.6215,1,"saglam_sabit_hareket,serit_degisiminden_kacin;kavsakta_dikkat"
7,hafta_ici,24.0,hafif,726,10,70,15.7,9,sehir_ici,islak,yeterli,0,0.858,1,"saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir;kavsakta_dikkat"
20,hafta_ici,2.1,yok,1228,10,110,39.4,2,kirsal,islak,yeterli,0,0.236,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
6,hafta_ici,21.1,yok,817,2,30,31.8,3,sehir_ici,kuru,yeterli,0,0.2882,0,hizini_dusur
18,hafta_ici,20.3,hafif,594,10,70,23.2,7,sehir_ici,kuru,yeterli,1,0.8866,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
22,hafta_ici,18.5,yok,665,3,50,25.4,5,sehir_ici,kuru,yeterli,0,0.4472,0,farlari_ac
10,hafta_ici,14.7,yok,692,4,30,17.7,10,sehir_ici,islak,yetersiz,0,0.831,1,farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
10,hafta_ici,21.7,yok,1173,1,50,28.9,7,sehir_ici,islak,yeterli,0,0.1758,0,takip_mesafesini_artir
23,hafta_ici,22.0,yok,1314,4,70,40.5,2,sehir_ici,kuru,yeterli,0,0.0681,0,farlari_ac
20,hafta_ici,8.6,yok,856,5,90,42.2,4,sehir_ici,kuru,yeterli,0,0.3194,0,farlari_ac
3,hafta_ici,19.6,hafif,894,3,70,67.0,1,otoyol,islak,yeterli,0,0.5035,1,farlari_ac;hizini_dusur;takip_mesafesini_artir
7,hafta_ici,13.1,siddetli,322,10,110,32.9,5,sehir_ici,karlı,yetersiz,0,0.9921,1,"hizini_azalt;saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
23,hafta_ici,0.1,siddetli,369,2,70,48.4,8,sehir_ici,islak,yeterli,0,0.9453,1,hizini_azalt;farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
2,hafta_ici,9.4,yok,909,6,120,60.7,1,sehir_ici,kuru,yeterli,0,0.2601,0,farlari_ac
21,hafta_ici,-0.6,yok,1456,8,120,50.1,7,sehir_ici,kuru,yeterli,0,0.0857,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
20,hafta_sonu,24.8,yok,1653,7,110,42.8,7,sehir_ici,kuru,yeterli,0,0.0399,0,farlari_ac
1,hafta_ici,18.6,hafif,525,1,120,84.5,7,sehir_ici,kuru,yeterli,0,0.7235,0,farlari_ac
23,hafta_ici,11.4,yok,953,4,110,81.4,1,otoyol,islak,yeterli,0,0.3015,0,farlari_ac;takip_mesafesini_artir
11,hafta_ici,29.2,yok,715,3,110,101.0,3,kirsal,kuru,yeterli,0,0.3871,0,hizini_dusur
5,hafta_ici,15.7,hafif,394,6,70,32.9,2,otoyol,islak,yetersiz,0,0.952,1,farlari_ac;takip_mesafesini_artir
1,hafta_ici,0.7,yok,660,9,70,20.0,5,sehir_ici,kuru,yeterli,0,0.6003,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
20,hafta_ici,10.6,yok,756,9,110,48.4,2,otoyol,islak,yeterli,0,0.6018,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
0,hafta_sonu,31.3,siddetli,270,7,70,30.1,5,sehir_ici,kuru,yeterli,0,0.9499,1,hizini_azalt;sis_farlarini_ac;farlari_ac
11,hafta_ici,8.3,siddetli,192,9,110,36.5,5,sehir_ici,kuru,yeterli,0,0.9682,1,"hizini_azalt;sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin"
21,hafta_ici,17.8,yok,1073,8,110,55.5,4,otoyol,kuru,yeterli,0,0.2311,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
11,hafta_ici,22.4,yok,1079,5,70,48.0,7,otoyol,kuru,yeterli,0,0.2145,0,normal_surec
16,hafta_ici,20.9,siddetli,214,9,110,37.1,10,sehir_ici,karlı,yeterli,0,0.9899,1,"hizini_azalt;sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir;kavsakta_dikkat"
9,hafta_ici,39.5,yok,981,7,50,23.3,6,sehir_ici,kuru,yeterli,0,0.3003,0,normal_surec
15,hafta_ici,3.2,yok,841,5,70,57.7,2,otoyol,kuru,yeterli,0,0.3138,1,normal_surec
